54
-17.04 -0.03 10.2 177
-17.04 8.91002 10.2 177
-17.04 8.91002 10.2 177
-3.3 8.91002 10.2 177
-3.3 8.91002 10.2 263
-3.3 8.91002 10.2 85
-3.3 8.91002 16.56 85
-3.3 8.91002 16.56 10
-3.3 5.61001 16.56 10
-8.76002 5.61001 16.56 7
-8.55002 5.61001 16.56 -73
-8.55002 5.61001 6.72002 -85
-8.55002 5.61001 6.72002 -111
-8.55002 5.61001 6.72002 -63
-8.55002 5.61001 6.72002 -112
-8.55002 5.61001 6.72002 -56
-8.55002 5.61001 6.72002 -181
-2.04 5.61001 6.72002 -181
-2.04 5.61001 6.72002 -78
-2.04 5.61001 6.72002 -67
-2.04 5.61001 6.72002 -103
-2.04 5.61001 6.72002 -72
-2.04 5.61001 6.72002 -104
-1.77 5.61001 6.72002 -178
-1.77 8.97002 6.72002 -178
9.06002 8.97002 6.72002 -178
9.06002 8.97002 6.72002 -95
9.06002 8.97002 6.72002 -38
9.06002 8.97002 6.72002 61
9.06002 8.97002 6.72002 -23
9.06002 8.97002 6.72002 -83
9.06002 8.97002 6.72002 -106
9.06002 8.97002 -13.08 -94
9.06002 8.97002 -13.08 52
9.06002 8.97002 -13.08 109
9.06002 8.97002 -13.08 8
9.06002 8.97002 -13.08 142
9.06002 8.97002 -13.08 39
8.67002 8.97002 -12.57 27
8.67002 10.83 -12.57 27
8.67002 10.83 -12.57 -100
8.67002 10.83 -12.57 -23
8.67002 10.83 -12.57 -115
8.67002 10.83 -12.57 -46
8.67002 10.83 -12.57 45
8.67002 10.83 -12.57 89
8.67002 10.83 -12.57 36
-13.02 10.83 10.05 36
-13.02 10.83 10.05 -1
-13.02 10.83 10.05 -82
-13.02 10.83 10.05 4
-15.99 10.83 10.05 4
-15.99 10.83 10.05 -176
-15.99 0.119999 10.05 -176
