16
0 0 0 0 0 0 0 0 0 0 0 0 0
-2.7 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 2.7 0 0 2.4 0 0 0 0 0 0
0 0 0 -0.6 0 0 2.4 0 0 0 0 0 0
0 0 0 -0.6 0 0 -0.3 0 0 0 0 0 0
0 0 0 -0.6 0 0 -0.3 0 1.5 0 0 0 -0.6
0 0 0 -0.6 0 0 -0.3 0 0.3 0 0 0 -0.6
0 0 0 0.6 0 0 -0.3 0 0.3 0 0 -2.1 -0.6
0 0 0 -1.2 0 0 -0.3 0 0.3 0 0 0.3 -0.6
0 -1.2 0 -1.2 0 0 -0.3 0 0.3 0 0 0.3 -0.6
0 -3.3 0 -1.2 2.7 0 -0.3 0 0.3 0 0 0.3 -0.6
0 -0.6 0 -1.2 -2.7 0 -0.3 0 0.3 0 0 0.3 -0.6
-1.8 -0.6 0 -1.2 -1.8 0 -0.3 0 0.3 0 0 0.3 -0.6
0 -0.6 0 -1.2 -1.8 0 -0.3 0 0.3 0 0 0.3 -0.6
0 -0.6 0 -1.2 -1.8 0 -0.3 0 0.3 0 1.8 0.3 -0.6
